ts,x,y,z,qw,qx,qy,qz,rx,ry,rz
49896300,1.14055,-2.73154,0.00401887,0.509944,0.0692958,0.0718122,-0.854399,-0.0530463,0.192846,-2.07053
49962966,1.12187,-2.76488,0.00346639,-0.487742,-0.0658545,-0.0679214,0.867846,-0.0545742,0.181555,-2.12252
50029633,1.10467,-2.7991,0.00120164,-0.467259,-0.072499,-0.0621142,0.878951,-0.0421833,0.186574,-2.16831
50096300,1.09162,-2.83453,-0.00184947,-0.444973,-0.0742126,-0.0593732,0.890486,-0.0404051,0.186082,-2.21855
50162966,1.08178,-2.87111,-0.00321765,-0.419103,-0.0703761,-0.0572364,0.903396,-0.0451374,0.176039,-2.27684
50229633,1.07208,-2.91024,-0.000670067,-0.390839,-0.0733152,-0.054976,0.915886,-0.0441072,0.178212,-2.33886
50296300,1.06089,-2.94713,0.00581584,-0.365085,-0.0865739,-0.0581863,0.925112,-0.0454016,0.204081,-2.39449
50362966,1.05095,-2.97548,0.0101926,-0.335083,-0.0778123,-0.0516598,0.937548,-0.0454826,0.181521,-2.45922
50429633,1.0381,-3.00377,0.0118157,-0.309078,-0.078125,-0.0548864,0.946232,-0.0565488,0.182793,-2.51535
50496300,1.02403,-3.03004,0.013283,-0.288248,-0.0848337,-0.0592965,0.951946,-0.0652958,0.196969,-2.56
50562966,1.01079,-3.05544,0.0146687,-0.270367,-0.0805323,-0.0658736,0.957119,-0.0841787,0.190936,-2.59905
50629633,0.994419,-3.08161,0.0138662,-0.256213,-0.0780711,-0.0717036,0.96079,-0.0996948,0.187866,-2.62978
50696300,0.973165,-3.10893,0.0108401,-0.245111,-0.0804881,-0.0757471,0.963174,-0.108694,0.193384,-2.65376
50762966,0.948417,-3.1367,0.00617012,-0.238474,-0.0851827,-0.0698512,0.964881,-0.0962128,0.199009,-2.66661
50829633,0.922794,-3.16526,0.000767727,-0.23618,-0.0826723,-0.0649478,0.966005,-0.0881534,0.191572,-2.67049
50896300,0.895398,-3.19437,-0.00322552,-0.236075,-0.0785808,-0.0566574,0.966894,-0.0737139,0.179674,-2.66929
50962966,0.866143,-3.22284,-0.00152625,-0.234905,-0.0866001,-0.053687,0.966663,-0.0643582,0.193861,-2.67108
51029633,0.840148,-3.2455,0.00554849,-0.237745,-0.091639,-0.0483514,0.965786,-0.05087,0.201356,-2.664
51096300,0.81791,-3.26427,0.0109458,-0.233704,-0.0733247,-0.0430888,0.968581,-0.0498782,0.162901,-2.67215
51162966,0.795691,-3.28447,0.0146926,-0.222977,-0.068268,-0.0476335,0.971263,-0.0628744,0.154468,-2.69513
51229633,0.777814,-3.30366,0.0188967,-0.217575,-0.0746145,-0.0438019,0.972201,-0.0534502,0.164887,-2.70567
51296300,0.765406,-3.32548,0.0213234,-0.217338,-0.0699581,-0.0442532,0.97258,-0.0563842,0.155947,-2.70629
51362966,0.754627,-3.35134,0.0209588,-0.214682,-0.0680602,-0.049093,0.973072,-0.0671657,0.154143,-2.71249
51429633,0.744188,-3.37941,0.0192352,-0.21115,-0.074455,-0.0456806,0.973543,-0.0583267,0.165009,-2.71926
51496300,0.735603,-3.41058,0.0173621,-0.20631,-0.0764328,-0.044775,0.974469,-0.0565541,0.16823,-2.72909
51562966,0.729754,-3.44313,0.0173365,-0.193649,-0.0722215,-0.0488078,0.977191,-0.0683514,0.160743,-2.75583
51629633,0.724997,-3.47634,0.0202058,-0.179624,-0.0686268,-0.0511741,0.980004,-0.0766225,0.153495,-2.78493
51696300,0.719323,-3.51045,0.0267142,-0.168932,-0.0736223,-0.0529789,0.981445,-0.0802681,0.163135,-2.80725
51762966,0.715105,-3.54242,0.03203,-0.158491,-0.0718991,-0.0518688,0.983372,-0.080314,0.158512,-2.82838
51829633,0.711504,-3.5739,0.0330708,-0.152155,-0.0675119,-0.0511223,0.984722,-0.0811257,0.14907,-2.84105
51896300,0.708611,-3.60376,0.0325622,-0.155956,-0.0691189,-0.0459305,0.984272,-0.0697057,0.150963,-2.83258
51962966,0.706269,-3.63401,0.0332332,-0.168219,-0.0722549,-0.0527038,0.981684,-0.0802817,0.16028,-2.80862
